wj;I
rA;Length measure
rA;Length measure
rA;Half of the row
rA;Support
rA;Name of the column
rA;expired
rA;Stand, row
rA;Pot
rA;Part of the reliquary of Osiris
rA;Celestial pillars
rA;Dean
rA;Dean
rA;carry
rAw;officialdom
rA-Aw;acre
rA-jb;rank
rA-a;God designation
rA-a;tree
rA-a;Lebanon
rA-atj;thrash
rA-awj;the punisher
rA-awj;field name
rA-a-bAkw;noun
rA-a-xt;egyptian
rA-a-sS;man
rA-a-sSw;people
rA-a-kAt;mankind, people
rA-wAt;people
rA-bd;men
rA-pw;all people
rA-pnt;Workers
rA-pr;rich?
rA-pDt;common soldier
rA-n-mAH;anyone
rA-n-kmt;hostile person
rA-n-Drjt;front worker?
rA-nb;worker
rA-nfr;prisoner
rA-nTrw;Subordinate
rA-nTT;Settler
rA-hnw;Serf
rA-HAt;Name
rA-HAwt;Title
rA-Hnt;Young animal
rA-Hr;saber antelope cub
rA-Hrj;female cub
rA-HsA;plant
rA-HsA;other, not mentioned
rA-HD;nickname
rA-HD;pet name
rA-xmnw;good reputation of someone
rA-xmt;pet name
rA-sr;young bull
rA-sSjj;young man
rA-stA;motherless girl
rA-stAw;god
rA-SAw;youthful
rA-DA;rejuvenation
rA-DAwt;name of the water
rA-DAw;youth
rAj?;priest in 3 gau of Lower Egypt
rAjAAt;young horse
rAr;Name of Month
rjt;year
rjt;name of the Sothis
rjt;God
rjt;Epithet of Horus
rjt;Feast
rj-wdn;Year of the misgrowth
rjt-Xnw;Feast
rjjrnjj;first year of reign
rjs;to be young, to become
rjd;fresh
ra;Underneath someone's
raw;fruits and plants
ra-bAk;cheer
ra-nb;Cattle
ra-qdjt;name of Seth
rajt;young man
rajt;caress, caress
ram;child waiting
rags;female cattle
rw;virgin hippopotamus
rw;young girl
rwt;wet nurse
rwt;luck, wealth
rwt;harvest goddess
rwt;goddess of clothes
rwt;goddess in the shape of a snake
rwt;Harvest goddess, dress goddess
rwt;dress
rwtj;name of the world creator
rwtj;Cheer
rwtj;Pearls
rw-Abw;Time
rwtj-wrtj;Young bull
rwt-nt-HAtj;raise child
rwj?;collar
rwj;Noun
rwj;color
rwj;sow
rwjt;hippo goddess
rwjt;dress goddess
rwjt;Raise child
rwjt;Pig
rwjt;snake
rwjt;deity
rwjt;Ribbon
rww;bowl
rwnt;small fruit
rwnjt;hostile snake
rwrjjt;glow
rwrwtj;to support oneself
rwhA;do not succeed in
rwhA;wade
rwxtt;flee
rwS;Ram of Amon
rwd;waste, rest
rwd;disease
rwdt;cauldron
rwD;the two women - Isis and Nephthys
rwD;Designation of two snakes
rwD;pair of unknown animals
rwD;people
rwD;the 2 comrades
rwD;burn, be burned
rwD;vessel
rwD;be glad
rwD;the 2 comrades
rwD;cake
rwDt;know, recognize
rwDt;knowledgeable
rwDt;knowledge
rwDt;recognize
rwDt;Epithet of Hathor
rwD-jb;Known
rwD-pXrjt;Amount
rwDj;Name for Isis and Nephthys
rb;magical
rbt;scholar
rbw;aware of his power
rbw(jj);image of the gods
rbn;acquaintance of the king
rbnbn;woman title
rbrn;know how to speak correctly
rbS;list of names
rbk;knowing
rpjt;someone's acquaintance
rpjj;amount
rpjjt;bird
rpat;people, crowd
rpatt;Lamentations of Osiris
rpat-sA-nswt;drink
rpw;scholar
rpw;famous
rpwt;slaughter, cut up animals
rpwt;belly, sack
rpwt-jwnwt;wash clothes
rfrf;directory with numbers
rfrf;washerwoman
rm;sufficient
rmwjj;launderer
rmj;wake up, watch
rmj;watchman
rmjt;captured enemies
rmjt;byname of Amun
rmw;byname of Osiris
rmw;holy place in Sais
rmn;mindful
rmn;south
rmn;something in a royal tomb
rmn;very
rmn;guardian
rmn;subdivision of a phyle
rmn;guard, watchtower
rmn;south dweller
rmn;southeast
rmn;southwest
rmn;byname of Ptah
rmnt;guards
rmnt;south wind
rmnw-nw-pt;dream
rmn-Xr;noun
rmn-sAH;South
rmnj;Fish and birds
rmnjt;Sniffles
rmnjt;joy
rmnwt;probably the
rmnwtj;top of a mountain
rmnwt-nfrw=s;rejoice
rmnn;joy
rmrm;God Rescheph
rmrm;race
rmrmt;joy
rmt;rage
rmt nmH;rejoice
rmtw;joy
rmT;repel, enmity
rmT;weight
rmTt;unruly cow
rmTw;recalcitrant
rmTw;adversary
rmTw-nb;enmity
rmT-jst;disease
rmT-aA;sparkle
rmT-mSa;designation of the sun god
rmT-nb;2 night hour
rmT-rqw;time
rmT-hA;enchant
rmT-hAjt;deity
rmT-sAw;hostile snake
rmT-smdt;officially used plant
rmT-grg;kindle fire, burn, blaze
rmT-Dt;embers, fire
rn;festival name
rn;Feast name
rn;Feast
rn;team
rnt;reach to
rnt;connect
rnw-aSAw;of cavities in brick ramp
rn-mAa;baker
rn-nfr;intimidate
rn-nfr;fortress, prison
rn-nDs;bakery
rnj;baker
rnw;Ocean
rnwt;Palestine and Syria
rnwj;foot
rnp;grow, grow
rnp;plant, crop
rnp;Bird
rnp;obligation
rnp;dress
rnp;to be tired
rnp;fish
rnpt;to be winged
rnpt;donation, giving
rnptj;give
rnpwj;body part
rnpt-aAt;plant
rnpt-wbs;go
rnpt-nDst;send
rnpt-smA-tAwj;come
rnpj;give ear
rnpw;put up
rnpwt;communicate
rnpwt;to give an idea
rnn;to instill a feeling in someone
rnn;marry
rnn;make something known
rnn;sell
rnn;to tell someone the truth
rnn;listen
rnn;to give right direction
rnnt;sell
rnnt;put on the floor
rnnt;pay
rnnt;speak
rnnt;let get
rnnt;worry about
rnnt;not to care about
rnnt;do something more
rnnwtt;heal
rnnwtt;let someone take a seat
rnnt-rnnwt;get ready
rnnwt;stake
rns;let rest
rr;show favor
rr;to seal something
rr;to be brought secretly
rr;to turn one's back
rr;to let live
rr;ceremony of death cult
rrt;bleed
rrt;paint bricks
rrt;make despicable
rrtj;become visible
rrj;break open
rrj;pardon
rrw;?
rrw;Stairs
rr(w);Noun
rrm;Plants or parts thereof
rrmt;Tree
rrk;Bread
rhb;baker
rhn;fish
rhn;Liquid
rhn;Name of the grain
rhn;Yard
rhnj;File
rhnj;oh!
rhnw;Cheer
rhdt;Fron
rHtj;roast
rHtj;deity
rHtjj;serving team, servant, serving group
rHw;ah if!
rHwj;worship
rHwj;worship
rHb;name of the altar of the sun temple of Niuserre
rHrH;strike metal
rHHwj;descend
rHs;attacking opponents
rHs;Name of Seth
rx;whoop
rx;spouse
rx;copulate
rx;File
rxt;vestibule
rxt;Sky
rxt;bakery
rxtj;be devoted to someone
rx-jxt;neighborhood
rx-jxt;time
rx-pHtj=f;relatives
rx-nf;need
rx-nswt;worker
rxt-nswt;Death of enemies
rx-rA=f;Itemization
rx-rn;Dress
rx-sw;brave, courageous
rxj;Job title
rxjt;Porch
rxjt;Eliminate pain
rxjt;send
rxwt;send for
rxr;the envoys
rxx;reply by letter
rxxj;poultry farms
rxs;Suffer
rxs;noun
rxt;if only would be
rxt;wave
rxt;pack
rxt;Noun
rxtj;goddesses accompanying Re
rs;snake
rs;festival in Abydos
rst;Pastry
rs-wDA;Stone jar for wine
rs-wDA;collar
rs-nt;Man
rs-tp;Whoop
rsj;Sky
rsj;Name of Seth
rsj;Accident?
rsjt;Disease
rsjj;Donkey
rsjjt;snake as hostile being
rsjw;evil animal
rsj-jAbtj;creature threatening the dead
rsj-jmntj;come humbly
rsj-jnb=f;someone's territory
rsw;burial chamber
rsw;oil
rswt;animal
rswt;fish)
rswt;run away
rsf;wail, lament
rS;fire, embers, being burned
rS;lament
rSwj;occupational name of shipping
rSj;catch fire
rSw;fish
rSwt;plow
rSp;enter
rSnj;disturb
rSnw;unfriendly treatment
rSnw;furrow
rSrS;place of execution
rSrS;dance
rq;Ibis
rq;{pHw} of the Gaüs of Athribis
rqt;kick
rq-jb;Ibis
rqw;something to beware of
rqw;gods that cause carnage
rqwt;Destruction
rqrq;antelope species
rqHj;jar, also known as mass
rqHjt;Ebony
rk;fortification
rk;pull through
rkm;drive away
rkrk;crush, trample
rkrk;credere
rkH;law
rkH;free from
rkH;measuring rope
rkH-wr;decrees
rkH-nDs;God
rks;divine snake in Heliopolis
rks;rack for divine birds
rgj;Servant of Re
rgt;snake
rtH;noun
rtH;divine being
rtH;peel
rtHt;pastry
rtHtj;to be hot
rtH-qbj;slander
rTnw;exclamation of satisfaction
rd;prod
rd;ferry wages
rd;vessel as measure
rd;shout of joy
rd;Birdhouses
rd;Saliva
rd;roar
rdt;roar
rd-DnH;crown
rdjt;scream
rdj;name of the lion)
rdjt;designation for evil beings
rdjt;rope
rdj-jb;name of a snake
rdj-jntw;name of a female snake
rdj-a;box
rdj-anxwj;head
rdj-aHa;stop
rdj-wDA-jb;stretch after
rdj-m-jb;sweet food
rdj-m-jrtj;place of sunrise
rdj-m-Hmt;skull capsule
rdj-m-Hr;Name of Osiris
rdj-m-Sbt;byname of Anubis
rdj-mAat;sweet food
rdj-mAa-r;cheer
rdj-mAaw;cheer
rdj-r-jsw;cheer
rdj-r-tA;pot
rdj-r-DbAw;hollow measure of 0,45 l "hin
rdj-rA;cheer
rdj-hAj;Cheer
rdj-HAtj;Waters in the XIII Gau of Upper Egypt
rdj-HA=f-(r);waves
rdj-HAw;follower of someone
rdj-Hm;serpent of a god
rdj-Hms;South wind
rdj-Hr;part of the {DArt} fruit
rdj-Hr-tp-xt;medical device
rdj-Hr-XAA;incline, bend
rdj-Hswt;head
rdj-xt;Fallow deer
rdj-Xn;Fallow deer cow
rdj-sA;god
rdj-spj;dance
rdjt-sfx;Waters in the afterlife
rdj-snf;barque
rdj-sxt;Deity
rdj-Sf;deity
rdj-tp=f;drive away completely
rdj-thm;Forest mountains
rdj-TAw;Metal vessel
rdjjt;?
rdw;Noun
rdw;Channel of the Delta
rdmt;contentment, tranquility
rdmt;name for Isis and Nephthys
rdrd?;milk
rdH;plant
rDA;ceremony in front of totem
rDw;designation of Isis and Nephthys
rDrD;be satisfied
h;day
h;to be cut
hA;ass, monster
hA;day of death
hA;12 day of the lunar month
hA;5 day of the lunar month
hAt;happy day, festival
hAtjjw;court day
hA-mjj;Fish and bird catching
hA-snD;Days of battle
hA-snD;diary
hAAt;sink
hAj;Drowned in the underworld
hAj;Occupation
hAj;waters
hAj;enclose, close
hAj;Poultry farm
hAj;Spelt
hAj;Tissue
hAj;send
hAjt;glow, heat
hAjt;sue
hAjt;sky
hAj-Hr-mw;unheard
hAw;disease of hearing
hAw;fiery
hAw;hissing of the snake
hAw;Libyan tribe
hAw;to shoot out, to attack, to burst forth
hAwt;bad way of walking
hAw-jrj;to be incomplete
hAw-mn;demon
hAw-tm;damaged pupil
hAwtjw;snake
hAwtjw;female snake
hAwtjw;Bedouin
hAb;god
hAb;bread
hAb r;female animal
hAbw;animal
hAb-smj;deity
hAmw;Drill bit drilling
hAmw;drill of drill bit
hAmw;digging well
hAnA;waters
hAnw;pull through sky
hArt;pull through
hAhA;rejoice
hAhAt;baboon
hAhwtj;shriek , whoop
hAkr;Whoop
hATt;god holding an oar
hATs;confront, attack
hAdrt;breaking stones
hj;attack
hj;slackness
hj;thorn of acacia
hj;Deity
hj;Goddess
hj;footstool
hjt;foul smelling
hjt;plant, material for fronds
hjw;Epithet of Thoth
hjw;goddess
hjw;plunder or fight
hjwt;famine
hjms;ferryman in the sky
hjn;noun
hjjtt;object made of flax
hw;quality designation of fabrics
hwj;larger house, temple
hwn;chapter
hwhw;quarry
hwt;sanctuary of Chon in Edfu
hwt;temple in Dendera
hwt;palace building
hwtj;location in the sky
hwtwt;Auaris
hwTn;name of the ancient high courts
hb;bottle
hb;goldsmith workshop
hb;Hatnub
hb;Juice-el-Hen
hb;Herakleopolis
hb;Dendera
hbt;Temple
hbt;Mummification room in Dendera
hbt;Goddess Hathor
hbt;Name for a dead woman
hbj;part of heaven
hbj;Room in the temple of Edfu
hbjt;Sanctuary of Nut in Heliopolis
hbjw;burial chapel
hbw;Memphis
hbn;Athribis
hbnt;Call to threshing donkeys
hbnj;lament
hbnn;lament?
hbhb;search
hbhb;myrrh
hbq;god of the west
hbq;of foundation of buildings
hp;back of the head
hp;back
hp;behind
hpw;around
hpAT;back
hpjw;oh that yes!
hpwtj;Lack
hpn;of a crocodile
hpnw;Club
hpnn;part of the carriage
hpnntj;in a priest title
hf;spreading wings protectively
hf;field of the Senet game
hm;bird
hm;sorrow
hm;field
hm;grave
hm;Food
hmt;second smallest hour part
hmt;front part
hmj;in front of
hmj;waters
hmh;Designation for meat
hmhm;Name for wine
hmhm;Object in the form of a lion's front part
hmhm;Name for water
hmhmt;Subdivision of a phylum
hmhmtj;God
hmhmtj;Heart
hms;ornament in the shape of a heart
hmT;best anointing oil
hmTt;the first, the preceding
hn;best anointing oil
hn;rope at the front of the ship
hn;<<uU not "Greeks">>
hn;good quality
hn-jnjw;fabric
hn-n-nwt;firstlings
hn-n-tp;Prince
hnj;prince
hnj;dean
hnjj;finest oil
hnjAj;best cattle
hnjwt;beginning of the measuring trick
hnjnj;noble
hnjnj;barque in Edfu
hnw;Dean
hnw;Furniture
hnw;Year
hnw;Name of incense
hnw;rope that holds the mast
hnw;dance
hnw;located around
hnwt;protector
hnw-Sss;come
hnwjt;flow
hnwH;flood
hnn;expose
hnn;nude
hnn;shine
hnnt;light
hnnj;designation of the sun god
hnhn;Wailing
hnhnw;Mud
hnhnw;Designation of the sky
hnhnw;Nakedness
hnTw;Light
hr;Shining
hr;evil
hr;turmoil
hr;restless
hr;rectangle
hr;edible poultry
hr;temple chamber
hr;embalming hall
hrt;designation of Isis and Nepthys as wailing women
hrtj;Nude
hrj;Shining
hrj;Designation of the two royal serpents
hrj;Designation of the sun god
hrjt;Designation of Hathor
hrw;the one who has a white spot in the eye
hrw;Designation for birds of prey
hrw;dressing
hrw;demons
hrw-n-mnj;Sedition
hrw-n-nD-snaa;riot
hrw-n-xAwt;body part
hrw-nfr;cut
hrw-rjt;fine linen
hrw-rsf;Nude
hrw-dmD;growth
hrwjt;eye disease
hrp;disease
hrpjw;Wealth
hrpwtj;Eclipse
hrm;Noun
hrm;Noun
hrmw;Face of the god
hrnt;First
hrt;the minor gods going before the main god
hrTT;Nude
hh;Face of the god
hh;first
hh;official used
hhj;Ancestors
hhjt;Name of the wine
hhjj;Name of the beer
hhm;Extra sacrifice
hs;rabble
hsmq;Inhabitants of the Greek islands
hskt;disease
hq;Stand
hqs;noun
hqs;openings / holes
hqswtt;veil
hkj;of the hidden contents of the mountains
hkrt;name of a priest
hgr;hiding place
hgs;secretive
ht;4 hour of night
htt;12 hour of night
htw;Scout
htj;measure of length for cloth
htj;verb
htjt;fishing
htht;wine producing landscape
htht;net casting; yield of the net
htht;wine pressing
htht;name for fishing net
htt;way
hTn;Fishermen
hTt;Designation of fishing net
hTt;Variety of wine
hTt;noun; denotes the excrement
hTT;lose ground
hd;disease of the heart
hd;capture, conquer
hd;booty, spoils of war
hd;Prisoner of war
hdt;Spoils of war
hdw;loot maker
hdm;cut off
hdm;designation of the shorter parallel side of the trapezoid
hdmw;type of bread
hdn;trapeze
hdn;rejoice, be glad
hdnj;to rejoice, to be glad
hdnwt;eye disease
hdhd;image
hddwt;yard
hDhD;eye disease
hDDw;cover
H;clouds in the sky
H;part of the inner temple
Ht;thrown over the head of the enemy
Ht;God in Beshape
Htt;amulet:
Ht-jfdt;fine linen
Ht-jHj;Demons
Ht-aAt;Garment
Ht-aXmw;fish trap, trap
Ht-wart;fishing with fish trap
Ht-wrt;to burn in love
Ht-n-Tkr;measure for vegetables
Ht-nb;noun
Ht-nb;excitement, agitation
Ht-nbs;team
Ht-nn-nswt;= Htj - throat
Ht-nhm;rain
Ht-nTr;flood
Ht-HmAgt;light
Ht-Hr;supervisor
Ht-Hr;God in best form
Ht-Hr;rain
Ht-sbqt;female being
Ht-Snjt;plant
Ht-kA;search
Ht-kA-ptH;with
Ht-tA-Hrt-jb;body
HA;palace
HA;wick of a candle
HA;something in ship wood, officially used
HA;fleet
HA;name of son
HA;name of the phallus
HA;of a body
HA;body of God
HA;what mourners do with hair
HA;child
HA;rejoice
HA;sun god
HA;palace
HA;rising of the sun
HA;designation of the moon
HA;wind
HA;Cheer
HA;Staff
HA;pus mass
HA;touch
HA;play
HAt;name for enemies
HAt;device
HAt;Nile
HAt;big flood
HAt;low flooding
HAt;turn
HAt;bed
HAt;rob
HAt;rob
HAt;report
HAt;saying
HAt;Food
HAt;alas!
HAt;great sphinx of Giza
HAtj;fan air
HAtj;driver, beater, shepherd
HAtj;chisel
HAtj;name of a {pHw}
HAtjj;large vessel
HAtt;goddess
HAtt;figures of gods at the helm in the ship of gods
HAw-nbw;animals
HAw-nbw;beat
HA-jb;rain
HAt-jxt;verse
HAt-jxt;Pig
HAt-a;blow, push
HAtj-a;people of a domain
HAtt-a;term for fighting bulls
HAt-wDAtj;staff or badge
HAt-mrHt;part of a ship
HAt-mDt;scepter
HAt-nwH;Rooms
HAt-rxjt;Sanctuary of Sais
HAt-Hr;beat
HAt-xAw;Toponym
HA-xt;Slaughterhouse
HAt-sp;Cella
HAt-tAw;Feast
HA-TAw;"house of Sokar"
HAj;"the high house" = heaven
HAj;"the house of the bull
HAj;theban sanctuary
HAj;"house of the Geb" = grave
HAj;temple of the worshiper
HAj;house of provision
HAj;throw
HAj;be putrid
HAj;?
HAj;Smell of rot
HAj;God
HAjt;putrid substances
HAjt;stagger
HAjt;sun god
HAjt;alas
HAjt;part of the obelisk
HAjt;beat
HAjt;flow
HAjt;rain
HAjt;flood
HAjt;happy song
HAjt;beat
HAjt;something from millstone
HAjt;lament
HAjtj;lament
HAjtj;sun god
HAjtj;gather, unite
HAjtj;harvest
HAjtj;strike landing peg
HAjtjt;harvest
HAjj;pile up grain
HAjw;destroy
HAjt-nt-Xn;name for cattle
HAjjtjjw;plant
HAaj;be short
HAajt;dwarf
HAaa;grain fruit
HAaa;dissolve
HAab;Ship
HAtjw;fish
HAw;with atrophied eyesight
HAw;Washer
HAw;Messenger
HAw;New Year messenger
HAw;Boy
HAw;name of a priest in Dendera
HAw;to become young
HAwt;youthful
HAwt;childhood
HAwt;piece of meat
HAwt;girl
HAwtj;young lioness
HAwtj;the two young girls = the uraea
HAwtj;young crocodiles
HAwtt;Noun
HAwtjw;bird or insect
HAw-jxt;epithet of the vulture goddess of El-Kab
HAw-jxt;Weak
HAw-jxt;official used
HAw-mr;rob
HAw-nbwt;robber
HAw-snf;to be poor
HAwjjt;speak ill
HAwt;Bad talk
HAwtjj;poverty
HAp;Primal God
HAp;death feast
HAp;plucking flax
HApt;rob
HAp-rA;noun; as toponym
HApt-Swt-m-jwnw;tent
HAp-Dsr;feast
HApjtw;triumph
HApt(j);to grieve for someone
HAf;name for malachite
HAm;catch yield
HAm;target
HAm;next to: Ladder
HAm;Food in offering list
HAmt;Smoke
HAmt;Title
HAmw;Festival order
HAmt-fttw;Part of a tomb
HAmj;Isis and Nephthys
HAmt;Feast
HAHA;Coronation feast
HAHA;Victory feast
HAq;Feast
HAq;Feast
HAq;Month Pharmonthi
HAqt;30th anniversary of the king's reign
HAqw;28 day of the lunar month
HAk;Fish
HAk;ship of gods in the sky
HAk;good condition of beer
HAkt;waddle
HAg;be festive
HAg;festival hall in temple
HAgAg;Behbet el Hagar
HAt;sacrifice
HAtt;college of gods
HAtj;bad act of measuring grain
HAtj;liquid part of the ice:
HAtj;fresh river water
HAtj;kill
HAtj;capture
HAtj;capital of the XVI Gau of Upper Egypt
HAtjtj;epithet of Horus
HAtjjwjj;slide on the ground
HAtjw;bread
HAtjjw;slide on the ground
HATt;drink
HAd;clothe, cover
HAd;dress, cover, cloth
HAd;cover
HAdt;god, sitting on clothes
HAdt;priest in the district of Athribis
HAdt;priestess in the district of Hieracon
HAdt;Jubilee feast
Hj;Cabin
Hj;Goddess in mummy form
Hj;jewel
Hj;those who are cloaked
Hj;frond bearer
Hjt;frond bearer
Hjt;protect
Hjfgt;apron
Hjmj;wife
HjHj;package
Ha;piece of stuff
Ha;plant
Hat;noun
Hat;open
Hat;rush
Haw;hand
Ha-anx;plant
Ha-anx;duck
Ha-wa;apis
Ha-nTr;ship device
HaA;Rudder
HaA;barrel
Haj;something belonging to the cult
Haj;designation of the crown
Hajt;hiding place
Haa;epithet of gods
Haa;name of the world
Haa;monkey-headed son of Horus
Haawt;stone
Haw;divine being
Haw-nw-rjt;plant
Hab;runner
Hab;be held back
Habjw;to be held back
Habw;God
Hapj;extreme end of the world
Hapj-aA;cadence
Hapj-nDs;dance, be merry
HanX;hurry, walk
Hat;arms
HaDA;embrace, embrace
HaDA;measure for thread
Hw;armful
Hw;Ball
Hw;disease
Hw;Path of the sun
Hw;Door woods of the door
Hw;Mast foot
Hw;disease
Hw;open
Hw;tadpole
Hwt;pay homage to someone
Hwt;snake
Hwt;worm
Hwt;snake
Hwt;to be complete
Hwt;device for opening mouth
Hwt;pastry
Hwt;tadpole
Hwtt;hundred thousand
Hwtjjw;pay homage
Hww;Hundred Thousand
Hw-jb-Tsm;Designation for snakes
Hw-jnw;Name of a female snake
Hw-a;Tadpole
Hwt-anx;Tadpole
Hwt-bjtjj;tadpole
Hw-nj;listen
Hwt-nfrt;milk
Hwt-nmt;memory
Hwt-Hat;to rise, to climb up
Hw-Hb;sit, sit down
Hwt-skr;tremble
Hwt-qAt;climb quickly
Hwt-kA;but
Hwt-kA;disease on leg
Hwt-gb;forbidden lewd act
Hwt-dwAt-nTr;coward
Hwt-DfAw;part of a goose
HwA;control
HwA;club
HwA;hoe earth
HwAw;slave
HwA-wr;majesty
HwAAt;crush, press
HwAw;womb
HwAwtj;cow
Hwj;woman
Hwj;goddess
Hwj;misfortune
Hwj;Fish
Hwj;Animal
Hwj;skill
Hwj;Workshop
Hwj;Glass river
Hwjt;Slave
Hwjt;Servants
Hwjt;Majesty
Hwjt;stake, spike
Hwjtj;<<as feminine suffix>>
Hwjj;disease
Hwj-jt;body part of a dog
Hwj-mnjt;plant
Hwj-mHj;sacred tree
Hwj-spt;wife
Hwj-sDb;cattle species
Hwjw;name of the pelican
HwjmA;step inhibit
Hwa;priest
Hwa;God woman
Hwa;Priestess
Hwa;high priest
Hwa;immature girl
Hwa;designation of the priest of the dead
Hwa-mAA;Designation of the priestess of the dead
Hww;foundation for the care of the grave
Hwwtj;married woman
Hwwtj-rnpt;ball
Hwn;stomp, step out
Hwn;ball hitting
Hwn;salt
Hwn;herbal substance
Hwn;disease in the abdomen
Hwn;plant
Hwnt;official used
Hwnt;enclose
Hwntjj;byname of Osiris
Hwnw;Libra
Hwnw;deity
Hwr;precious stone
Hwrt;Diseased
Hwrw;rope
Hwrw;soft
Hwra;helmsman
Hwra;Being in the sky
Hwrw;Drill vessels
Hwrw;helm
Hwrw-sp=f;weapon
Hwrr;salt
HwHw;goddess
Hws;stone device
Hwg;Protector
Hwtj;helm
Hwtf;grain
Hwdw;forty
Hb;make
Hb;official used
Hb;artistry
Hb;Artistry
Hb;weapon
Hb;the able, the expert
Hb;Craftsman
Hb;wagon maker
Hb;oar maker
Hb;Devastation
Hb;gold worker
Hb;all craftsmen
Hbt;Spell
Hbt;Hex
Hbtj;skillful, artisan
Hb-n-jnt;Crafty
Hb-n-xaw;workshop
Hb-nxt;arts
Hb-rnpwj;inventive
Hb-rnnt;medical instrument
Hb-rnnwtt;magical being
Hb-sd;god
Hb-sd-nwt;butcher
HbA;noun
HbA;a number of
HbA;throne
HbAbA;excavate
Hbj;jar
Hbjt;come back to sth
Hbjt;escape
Hbjt;cut off, slaughter
Hbjjw;crocodile
Hba;female crocodile
Hbb;noun
Hbbt;God
Hbn;name of the phallus
Hbn;ground
Hbn;complete rest
Hbnw;throne of the king
Hbnwj;place at court
Hbnbn;goddess
Hbnbn;he lives in
Hbnnwt;being unmarried
Hbrbr;sit in leisure
HbHb;sit
Hbs;mineral from Nubia
Hbs;disease
Hbs;chase away
Hbs;abusive term for cowards
Hbs;basin
Hbs;vinegar
Hbs;plant
Hbs;grow
Hbst;box as a votive gift
Hbst;designation of an emergency grave
Hbs n pqjj;block
Hbsw;arrange
Hbs-bht;offering
Hbs-bht;be fresh
Hbs-bhn;hurry
Hbs-nTr;retreat
Hbsjt;bird
Hbsw;garment
Hbswt;look at
Hbt;cheer
Hbdt;being unsatisfied
HbD;command
Hp;operation
Hp;Pelican
Hp;Sanctuary of Neith
Hp;Vessel
Hp;Waters
Hpt;Waters in the sky
Hpt;Designation of the border areas of Egypt
Hpt;bird
Hpt;palm; irrigation channel
Hpt;waters in the sky
Hpt;Bird
Hptj;area, time limit
Hptj;Designation of the enemy of the Re
Hpj;Ship
Hpa;Rise of the wind
Hpa;Plant
Hpapat;Eternity
Hpwtj;eternal
Hpp;spear
HpH;together with
HpHp;wish
HpHp;fill
HpHp;like
Hpq;<<as an adverb>>
Hpg;deity
Hpt;morbid condition
Hpt;bad quality
Hpt;pot
Hpt;barque of the Soker
Hpt;name of a sanctuary
Hpt;constipation
Hpt;crown
Hptt;Cheer
Hptw;vessel for beer and wine
Hptw;Mistress
Hptj;coffin box
Hpd;Horn
Hf;Dykes
HfA;disease
HfA;official used
HfAt;make-up sticks, make-up brushes
HfAt;Vessels
HfAt;Name of the Hathor of Dendera
HfAw;Epithet of Hathor
Hfa;Pricking
Hfa;Corn usury
Hfa-spHt;land survey
Hfn;farmland
Hfn;drive back
Hfn;slaughter
Hfnw;patron god
Hfnw;bread ration
Hfnj;measured field
Hfnnt;official used
Hfnr;arable share
Hfrn;Expression of the temple administration
Hfrr;designation of the sun rays
HfHf;Arable land
Hfk;Anointing beads
Hftnt;Bread ration
Hfd;snake
Hfd;swollen?
HfD;Vessel or its contents
HfDn;ship of the sun
Hm;Tail puff
Hm;wind
Hm;slaughter
Hm;found
Hm;measured field
Hm;to cheer someone
Hm;goddess of beer
Hm;the creeper
Hm;people
Hm;creeping in
Hm;talk bad about
Hmt;look here and there
Hmt;hoe
Hmt;chop
Hmt;phallus
Hmt;date part
Hmt;Heracleopolis
Hmt;Grain
Hmt;oh that yes!
Hmt;squint
Hmt;be hoarse
Hmt;to be scattered
Hmt;diminutive of the name of Hathor
Hmt;to be glad
Hmt;to be discouraged
Hmt;fear
Hmw;to be held back
Hmw;disease of the legs
Hmw;to forget
Hm-aA;vitality; maintaining the vitality
Hmt-aHAwtj;tumor
Hm-wr;escape
Hm-psDt;narrow, narrow
Hm-nmtt;narrow-hearted
Hm-nTr;plant
Hmt-nTr;pay homage
Hmt-nTr;hair lichen
Hm-nTr-tpj;name of the high priest of Heliopolis
Hmt-Xrd;woman covered with hair braid
Hm-kA;destroy
Hmt-kA;liquid, juice
Hm-kAw;flow
Hmt-TAj;beer
HmA;priest in Hermonthis
HmA;give, present
HmA;vessel
HmAt;presentee, confidant
HmAt;Brick replica
HmAw;raft
HmAw;measure for dates
HmAjjt;device
HmArt;donated land
HmAg;Shape of the sacrifice
HmAg;Familiar
HmAg;bedroom
HmAgt;Hair braid
HmAgt;cloth, bedding
HmAtj;Bed
HmAtj;Gift
HmATT;Weighing bowl
Hmj;Bed
Hmj;Woman with hair braid
Hmj;Hair braid
Hmj;Name of a snake
Hmjt;Hathor
Hmjt;good condition of the mouth
Hmjt;deity
Hmjt;rejoice, rejoice
Hmjt;maw
Hmj-awj;animal
Hmw;part of the breast at the sternum
Hmw;lizard
Hmw;enemy in crocodile form
Hmw;be greedy for
Hmwt;animal with spines
Hmwt;clothe
Hmwt;slaughter
Hmwt;commander
Hmwt;commander
Hmwtj;kill
Hmw-wrrjt;slaughter
Hmw-wsrw;slaughterer
Hmwt-mt;Noun
Hmw-nb;god Horus
Hmwt-nbt;face
Hmwt-rA;at
Hmwt-sA;because
Hmww;dew
Hmww;pitch tent
Hmww;be ready
Hmww;plan, intention
Hmww-jb;diameter
Hmm;fabric
Hmm;name of the mirror
Hmmj;Horus goddess
