=i҆|I
ḥṯṯ|pick someone up
ḥṯṯt|Armpit, shoulder
ḥṯṯt|Mast shoe
ḥdt|Epithet of a miller's wife
ḥdi҆|span something
ḥdi҆|go limp
ḥdi҆i҆|the shining one = the sun disk
ḥdb|prostrate
ḥdbi҆t|Pile of beaten enemies
ḥdbw-nw-mwi҆t|illness
ḥdḳ|cut off
ḥdg|kill
ḥdg|ambushed
ḥdg|door
ḥddt|Goddess in the form of a scorpion
ḥdḏ|God
ḥḏ|Club
ḥḏ|white, bright
ḥḏ|break open when it gets light
ḥḏ|light
ḥḏ|silver
ḥḏ|chapel
ḥḏ|bone
ḥḏ|goose
ḥḏ|Jaw cheeks
ḥḏ|white leather
ḥḏ|Waters in the delta
ḥḏ|damage
ḥḏt|daylight
ḥḏt|white fabric
ḥḏt|Nickname of goddesses
ḥḏt|white, Upper Egyptian crown
ḥḏt|White in the eye
ḥḏt|drink
ḥḏt|jug
ḥḏt|plant
ḥḏt|garlic
ḥḏt|officially used
ḥḏt|officially used
ḥḏt|Name of the hippopotamus
ḥḏt|Beef
ḥḏti҆|white sandals
ḥḏ m ḥḏ|silver
ḥḏ-i҆b|glad
ḥḏ-wr|monkey-shaped god
ḥḏ-pꜣꜥr|Name of a chapel
ḥḏ-n-ꜥrf|Silver processing type
ḥḏ-nḫn|Hierakonpolis
ḥḏ-ḥr|friendly
ḥḏ-tꜣ|it meets
ḥḏ-tꜣ|tomorrow
ḥḏꜣi҆|dirt
ḥḏi҆|Name of Osiris
ḥḏi҆|destroy, damage
ḥḏi҆t|goddess
ḥḏi҆t|Slaughter
ḥḏi҆t|Device in the ship
ḥḏi҆i҆|West wind
ḥḏw|Onions
ḥḏw|officially used
ḥḏw|Name of the milk
ḥḏwt|light
ḥḏwti҆|Sun god
ḥḏwi҆|material
ḥḏwi҆t|lamp
ḥḏn|be unwilling
ḥḏn|Unwillingness
ḥḏnn|be unwilling
ḥḏnḥḏn|be unwilling
ḥḏnḏn|Romp
ḥḏr|hyena
ḥḏr|Worms that eat the corpse
ḥḏr|product
ḥḏrt|hyena
ḥḏrt|drink
ḥḏdt|Firmly
ḥḏdwi҆|to shine
ḥḏḏ|light
ḥḏḏ|Name of Horus
ḥḏḏti҆|Designation of the eyes of the sun
ḥḏḏi҆i҆t|Vogel, equated with Isis
ḥḏḏwt|light
ḥḏḏwi҆|light
ḥḏḏtw|God
ḥḏḏdnt|Nickname of the Anukis
ḫ|be young
ḫ|youth
ḫt|little girl
ḫt|Thing
ḫt|Fire
ḫt|drops
ḫti҆|fire breathing snake
ḫtt|Fiery ones
ḫt sṯst|?
ḫw|Art
ḫw|protect
ḫꜣ|shell
ḫꜣ|Leaf of the lotus
ḫꜣ|thousand
ḫꜣ|God
ḫꜣ|be young
ḫꜣ|Activity while washing
ḫꜣ|Name of the dead
ḫꜣ|something that counts the dead when entering heaven
ḫꜣ|Hall
ḫꜣ|Waters in the sky
ḫꜣ|hoe
ḫꜣ|bow down to someone
ḫꜣ|small measure of measure
ḫꜣ|path
ḫꜣt|shell
ḫꜣt|Doorkeeper
ḫꜣt|Waters
ḫꜣt|Neck collar
ḫꜣt|King's headscarf
ḫꜣtt|divine being
ḫꜣw|Leaves of the lotus
ḫꜣw|Dean stars
ḫꜣw|Herbs
ḫꜣw|fragrant substances from punt]
ḫꜣw|Accessories of the lamp
ḫꜣ-bi҆n|Place in the underworld where the dead are punished
ḫꜣ-n-bi҆n|Place in the underworld
ḫꜣ-tꜣ|Field, field measure
ḫꜣ-di҆|Necropolis at Dendera
ḫꜣi҆|illness
ḫꜣi҆|examine
ḫꜣi҆|weigh, measure
ḫꜣi҆|Measuring cord
ḫꜣi҆|Dimensions
ḫꜣi҆|King's headscarf
ḫꜣi҆|Ship part
ḫꜣi҆|Sick
ḫꜣi҆|drink
ḫꜣi҆t|illness
ḫꜣi҆t|Bloodbath, pile of corpses
ḫꜣi҆t|altar
ḫꜣi҆t|Pot for milk
ḫꜣi҆i҆|Grain weighing hall
ḫꜣ(i҆i҆)|fish
ḫꜣi҆bt|shadow
ḫꜣi҆i҆ti҆i҆|Hall, courtyard
ḫꜣꜥ|throw
ḫꜣꜥ|urinate
ḫꜣꜥ|flower
ḫꜣꜥw-n-ḥmt|pathological condition
ḫꜣꜥ-mḥ|flood-filled valley
ḫꜣꜥ-ḥꜣ|Turn your back
ḫꜣꜥ-ḥr-wꜣt|leave unfinished
ḫꜣꜥꜥ|Throwing machine in war
ḫꜣti҆w|fighting gods
ḫꜣw|Pieces of meat as a sacrifice
ḫꜣw|Grain knife
ḫꜣw|crush
ḫꜣw|Small animal skin and waste
ḫꜣw|Bowl
ḫꜣw|wig
ḫꜣwt|fur
ḫꜣwt|Sacrificial plate
ḫꜣwt|Device made of copper
ḫꜣw-sḫt|tree
ḫꜣwi҆|Eve
ḫꜣwi҆|Evening hikers
ḫꜣwi҆|drink
ḫꜣ(w)i҆i҆|Weighing hall, weighing hall
ḫꜣwt|rush, be in ecstasy
ḫꜣb|hippo
ḫꜣb|to be stooped in awe
ḫꜣb|neck
ḫꜣb|Part of the chariot
ḫꜣbꜣ-s|Stars
ḫꜣbꜣs|lamp
ḫꜣbꜣs|to shine
ḫꜣbb|fighter
ḫꜣbs|ibis-headed god
ḫꜣbs|bird
ḫꜣbs|City in Lower Egypt
ḫꜣbs|verb
ḫꜣbst|shadow
ḫꜣp|throw
ḫꜣp|noun
ḫꜣp|board
ḫꜣpw|Part of the temple
ḫꜣf|dog
ḫꜣf|eat
ḫꜣff|Food
ḫꜣm|bow
ḫꜣm|tree
ḫꜣmw|noun
ḫꜣmw|troops
ḫꜣmm|operate quickly
ḫꜣn|Piece of meat
ḫꜣnn|Part of the dump palm fruit
ḫꜣnnt|A variety of the dump palm
ḫꜣr|goose
ḫꜣr|Chisel
ḫꜣrt|widow
ḫꜣrw|alley
ḫꜣrw|Syria
ḫꜣrwi҆|Syrians
ḫꜣrwṯ|Waters
ḫꜣḫ|be quick, go quick
ḫꜣḫ|Spear fish
ḫꜣḫw|the fast ones
ḫꜣḫ-i҆b|rash
ḫꜣḫ-nmtt|hurriedly striding
ḫꜣḫꜣ|winnow
ḫꜣḫꜣ|Fields in the afterlife
ḫꜣḫꜣ|itch
ḫꜣḫꜣwt|Chisel
ḫꜣs|Primeval waters
ḫꜣs|with great effort
ḫꜣst|noun
ḫꜣst|Mountain country, foreign country
ḫꜣsw|laugh
ḫꜣsti҆w|Barbarians
ḫꜣsi҆t|plant
ḫꜣsf|illness
ḫꜣšꜣ|illness
ḫꜣtb|to spare someone
ḫꜣtrw|Ichneumon
ḫꜣd|pluck
ḫꜣd|frosted
ḫꜣd|be dismembered
ḫꜣḏw|Dough for bread
ḫꜣḏꜣi҆w|monument
ḫꜣḏt|shape
ḫi҆|the recipient = the demiurge
ḫi҆|child
ḫi҆|be high
ḫi҆|height
ḫi҆|high field
ḫi҆|flood
ḫi҆|air
ḫi҆|Oh!
ḫi҆|how
ḫi҆t|Windbreak
ḫi҆t|height
ḫi҆t|sky
ḫi҆t|Goddess who lifts up the sky
ḫi҆    ḫi҆|and also
ḫi҆-ḥꜣt|proud
ḫi҆i҆|plant
ḫi҆ḫi҆|to destroy
ḫꜥ|Mound of earth
ḫꜥ|Firmly
ḫꜥ|Skein for yarn
ḫꜥ|hoe
ḫꜥt|Primeval hill
ḫꜥw|equipment
ḫꜥ-ꜥꜣ|public festival
ḫꜥ-ꜥꜣt|Troop
ḫꜥ-n-spdt|Sothisrise
ḫꜥ-rꜣ|Priestly title
ḫꜥ-ḫnt|title
ḫꜥi҆|rise up
ḫꜥi҆|give birth
ḫꜥi҆|Name of the sun god
ḫꜥi҆|Crown
ḫꜥi҆|sacred serpent of Cynopolis
ḫꜥi҆t|Name of Hathor
ḫꜥi҆t|daily intake
ḫꜥi҆t|House
ḫꜥi҆i҆t|Appearance
ḫꜥꜥ|Rise
ḫꜥw|Rising of the stars
ḫꜥw|Crown
ḫꜥw|Name for crocodile
ḫꜥw|Place of punishment for evil
ḫꜥm|neck
ḫꜥr|get angry, be angry
ḫꜥr|Throw down enemy
ḫꜥr|device
ḫw|to be free from
ḫw|subjects
ḫw|protection
ḫw|Flower or similar for wreaths
ḫw|Part of the dead enemy that snake eats
ḫwt|Exemption from taxes
ḫwt|goddess
ḫwt|King's palace
ḫwt|sky
ḫwtt|one of the gates in the afterlife
ḫwti҆w|Protective gods
ḫww|fishes
ḫww|Pieces of meat
ḫw-wꜣḏ|Title by Kom Abu Billo
ḫw-bꜣḳ|Name of Osiris
ḫw-mk|be exempt from taxes
ḫw-rd|walking quietly
ḫw-ḏt=f|copper
ḫw-ḏsr|Priestly title
ḫwi҆|protect
ḫwi҆t|Goddess of Athribis
ḫwi҆t|frond
ḫwi҆-mki҆|become self-employed
ḫww|evil acts
ḫwwi҆|drink
ḫwn|prick, poke
ḫwn|bad characteristic
ḫwnt|Drink of the gods
ḫwnw-nfrw|Young team of the army
ḫwn=sn|Fellow gods of Hathor of Dendera
ḫwns|Fellow gods of Hathor of Dendera
ḫwḫt|ship
ḫws|Butcher
ḫws|Butcher
ḫwsi҆|to build
ḫwsi҆-ḏbt|Paint bricks
ḫwsw|something that is being built in the quarry
ḫwti҆i҆|Fill vessels
ḫwd|be rich, make rich
ḫwd|Richer
ḫwd|wealth
ḫwd|catch with the net
ḫwd|litter
ḫwdt|Carrying chair
ḫwḏw|Fisherman
ḫb|Dancer of a god
ḫb|dress
ḫb|hippo
ḫb|execute
ḫb|chop up
ḫbt|Mass loss
ḫbt|Mountain in the hereafter
ḫbt|Place of execution
ḫbt|Fire
ḫbt|arrow
ḫbꜣ|chop
ḫbꜣ|Loss of measure
ḫbꜣ|in spite of someone
ḫbꜣ|to dance
ḫbꜣ|Income, income, income
ḫbꜣtw|Despite
ḫbꜣt|holy barge of Hathor in Dendera
ḫbi҆|to dance
ḫbi҆|Reduce
ḫbi҆|chop up
ḫbi҆|Collect gifts
ḫbi҆t|Dancers
ḫbi҆t|slaughter
ḫbi҆-i҆nw|Collect gifts
ḫbw|officially used plant
ḫbb|slaughter
ḫbbt|Vessel for myrrh, ointments, etc.
ḫbn|to commit crime
ḫbnt|crime
ḫbnti҆|Criminal
ḫbn-ḳd|of a criminal character
ḫbr|Business dealings
ḫbrr|Pastries
ḫbḫ|slurp something
ḫbḫb|something that is bad for you
ḫbḫb|Vessel for myrrh and ointment
ḫbḫb|to enter
ḫbḫb|dismember
ḫbḫb|God
ḫbst|tail
ḫbs|lamp
ḫbs|to shine
ḫbs|chop, chop up
ḫbs|Field, arable land
ḫbs|Furrow water
ḫbs|Violence
ḫbs|culprit
ḫbs|bird
ḫbsti҆w|Bearded
ḫbst-wrt|goddess
ḫbs-tꜣ|Name of a god
ḫbsi҆t|Body part of man
ḫbsi҆t|hoe
ḫbswt|Beard of the gods
ḫbt-rꜣ|Diminution
ḫbti҆|Punish evil
ḫbti҆|Name for Apophis
ḫbti҆w|execution
ḫbd|blame, hate
ḫbdt|Reprehensible
ḫbḏ|bad characteristic
ḫp|Secluded
ḫp|throw
ḫpt|little bird
ḫpt|noun
ḫp-i҆mi҆-tꜣ|haunted dead
ḫpi҆|walk
ḫpi҆|to die
ḫpi҆|Sun god
ḫpi҆|Sun with urea
ḫpi҆t|noun
ḫpi҆t|noun
ḫpi҆-n-kꜣ=f|to die
ḫpi҆w|Go there
ḫpi҆w|Goddess in the suite of Osiris
ḫpw|Eye disease
ḫpp|enemy
ḫpp|strange
ḫppw|strange sayings
ḫppwt|Strange
ḫppwi҆|Flowers in the swamp
ḫppwi҆|Grains of a kind of myrrh
ḫpn|Name of the sun beetle
ḫpnpn|fishes
ḫpr|become, arise, happen
ḫpr|Essence
ḫpr|Dendera
ḫpr|noun
ḫprt|event
ḫprt|Creation
ḫprw|now living
ḫprw|Originated
ḫpr-wr|Product of the Wadi Natrun
ḫpr-nḫnw|growing up as a child
ḫpr-ḥꜣt|holy boat
ḫpri҆|children
ḫpri҆|Sun god as a beetle
ḫpri҆|Snake
ḫpri҆|in official use
ḫpri҆i҆w|Deity
ḫprw|Farmland in the Gau of Thebes
ḫprwt|8 hour of the day
ḫprr|Beetle
ḫprš|blue crown
ḫpš|Fore leg
ḫpš|Great Bear constellation
ḫpš|Arm, strength
ḫpš|Sickle sword
ḫpš|conquer with sword
ḫpš|Workshop, armory
ḫpš|Craftsman
ḫpš|Name of the demiurge
ḫpši҆|heavily armed
ḫpšwt|Name for Egypt
ḫpt|be angry, angry
ḫpd|Rump
ḫpd|rounded part of something
ḫpdt|Ingredient of an incense
ḫf|see
ḫf|brighten something
ḫf|enemy
ḫfꜣt|Enjoy the meal
ḫfꜣꜣt|Banks, shores
ḫfꜥ|grab, grab
ḫfꜥ|fist
ḫfꜥ|Bundle of arrows
ḫfꜥ|Pastries
ḫfꜥt|Nickname of snakes
ḫfm|fish
ḫfnnwt|fruit
ḫfḫf|pour out
ḫfḫf|to damage
ḫfḫft|Outflow, discharge
ḫfḫfw|Points of origin
ḫfḫfi҆|blow
ḫft|face
ḫft|in front of someone
ḫft|if
ḫft|offer
ḫft-ḥr|in front
ḫfti҆|enemy
ḫfti҆t|Enemy
ḫfti҆-ḥr|located in front of
ḫfti҆-ḥr|Forecourt of the temple
ḫftw|in front
ḫfd|Rump
ḫm|getting too dry
ḫm|Pollinated
ḫm|Powder when preparing kyphi
ḫm|hot
ḫm|Waters at Herakleopolis
ḫm|not knowing
ḫm|Ignorant
ḫm|Place of worship
ḫm|Letopolis
ḫmt|valuable metal
ḫmw|Images of gods
ḫmwt|images
ḫm-mꜣꜣ|Name of Seth
ḫmi҆|not knowing
ḫmi҆|God of Letopolis
ḫmi҆|Overturning houses
ḫmi҆t|evil feminine being
ḫmi҆t|punishing goddess
ḫmi҆i҆|consume, eat
ḫmi҆w|evil
ḫmi҆w|evil being
ḫmi҆-rdwi҆|Sand fly
ḫmꜥ|grasp
ḫmꜥ|tear off
ḫmꜥ|Stone workers
ḫmꜥ|Country name
ḫmꜥt|Handle
ḫmꜥt|Field
ḫmꜥ-n-ḳdi҆|Stone workers
ḫmw|dust
ḫmw|Designation of the enemies of Egypt
ḫmw|consume, eat
ḫmwt|noun
ḫmn|Figure eight weave
ḫmn|God
ḫmnt|Mindfulness
ḫmnti҆|ship
ḫmnw|eight
ḫmni҆w|8 primeval gods of Hermopolis
ḫmnw|Hermopolis
ḫms|Verb of movement
ḫmt|three
ḫmt|triple
ḫmt|Trident
ḫmt|stab
ḫmt|Part of the boat
ḫmt|drink
ḫmt|concerns
ḫmt|the recipient = the demiurge << probably to read {xi} >>
ḫmtw|the three
ḫmtni҆|liquid
ḫmtnw|Third
ḫmtnw|third month of a season
ḫmtnw|Helper to someone
ḫmt-nw-ḏsfw|medical treatment
ḫmtw|Number 3
ḫmtni҆-n-mstꜣ|liquid
ḫmṯ|Act of violence
ḫn|Choral singing
ḫn|make music
ḫn|Bring gifts
ḫn|Stir arm
ḫn|rebel
ḫn|Hideous
ḫn|speech
ḫn|foolish
ḫnt|Name of the grave
ḫnt|Nickname of goddesses
ḫnt|Extra gift
ḫnt|<< in {tp-xnt} "referee" >>
ḫntt|goddess
ḫntt|People who do something with grain
ḫn-bi҆n|Evil
ḫn-n-ꜥbꜥ|Boasting speech
ḫn-n-wšb|Alternating singing
ḫn-nfr|Name of the Ihi
ḫn-nfr|Precious
ḫn-nhm|Cheer song
ḫni҆|load
ḫni҆|float down
ḫni҆|to dance
ḫni҆t|music-making dancers
ḫni҆-n-ḥsi҆|singing
ḫni҆i҆t|Resting place
ḫnꜥ|evil; damage
ḫnw|God
ḫnw|musician
ḫnw|18 day of the lunar month
ḫnw|Sack carrier
ḫnw|child
ḫnw|Resting place
ḫnw|Dorsal fin of the synodontis << DrogWb S 558 reads {tnw} >>
ḫnw|castanets
ḫnwt|Musician
ḫnws|stinging insect, mosquito
ḫnws|Heart disease
ḫnp|rob
ḫnp|breathe in
ḫnp|drinking water
ḫnp|Pastries
ḫnp-i҆b-mr=f-wꜥw|bull-headed god
ḫnp-wḏꜣt|Designation of the gazelle as the animal of Seth
ḫnp-mw|drinking water
ḫnp-kꜣ|flood water
ḫnpi҆|plant
ḫnpi҆t|Snake
ḫnptr|Pastries
ḫnft|Scale
ḫnfꜣ|Presumption
ḫnfꜣ|aggressive
ḫnfi҆|Fire
ḫnfw|cake
ḫnfwt|cake
ḫnm|smell
ḫnm|delight
ḫnm|friend
ḫnm|treat someone with ointment
ḫnm|Child waiting
ḫnm|Guardian of a child of gods
ḫnm|noun
ḫnmt|Whore
ḫnmt|kiss
ḫnmt|nurse
ḫnmt|red gemstone from nubia
ḫnmt|Corrupted grain
ḫnmt|Fountain
ḫnmt|Pitcher for water
ḫnmti҆|Prostitutes
ḫnmti҆|Nostrils
ḫnmti҆|Guardian of a child of God
ḫnmti҆|Raise child
ḫnmtt|Attendant
ḫnmw|odor
ḫnms|make friends
ḫnms|Friendship
ḫnms|friend
ḫnms|beer
ḫnms|mosquito
ḫnmst|girlfriend
ḫnmst-nṯrw|Nickname of the Sekhmet
ḫnnt|poultry
ḫnr|lock up
ḫnr|Prisoner
ḫnr|culprit
ḫnr|harem
ḫnr|Reins
ḫnr|Metal tool
ḫnr|tooth
ḫnr|disperse
ḫnr|Refuse hand
ḫnr|get hoarse
ḫnr|fruit
ḫnr|Name of Apophis
ḫnrt|jail
ḫnrt|harem
ḫnrt|Harem lady
ḫnrtt|Prisoner, enemy
ḫnri҆|noun
ḫnrw|Part of the armor
ḫnrḏ|paved place
ḫnḥ|verb
ḫnḥ m ḳbḥ|when describing a coffin: type of coffin preparation
ḫnḫ|Farm equipment
ḫnḫn|settle down on
ḫns|pull through, drive through
ḫns|Read ritual
ḫns|Standard
ḫns|Amulet made of gold
ḫns|door
ḫns|Waters in the 3rd district of Lower Egypt
ḫns|Product, color
ḫns|something made of valuable metal: an amulet
ḫnst|goddess
ḫnsi҆t|Illness in the head
ḫnsw|God
ḫnswt|goddess
ḫnsw|Chons
ḫnš|stink
ḫnš|officially used plant
ḫnt|red or yellow mineral substance
ḫnt|bring to someone
ḫnt|harem
ḫnt|Stand
ḫnt|face
ḫnt|at the front
ḫnt|before, before
ḫnt|illness
ḫnt|Patron goddess of Osiris
ḫnt|Channel or similar
ḫnt|rejoice
ḫnt|verb
ḫnt|Stop
ḫntt|Constellation
ḫntt|officially used
ḫntt|Beginning of something
ḫntt|Illness, signs of old age
ḫnt-i҆b|be happy
ḫnt-n-ṯꜣr|Farmland
ḫnt-ḥn-nfr|northern Nubia
ḫntt-ḥrt|dean
ḫntt-ẖrt|Deans
ḫnt-ẖti҆|God of Athribis
ḫnt-ẖti҆|Fixed in the 1 month of the {Smw} time
ḫnt-st|Posh
ḫntt-ṯms|dean
ḫnti҆|dye
ḫnti҆|baker
ḫnti҆|front
ḫnti҆|at the front
ḫnti҆|located in front
ḫnti҆|south
ḫnti҆|lobby
ḫnti҆|harem
ḫnti҆|Name for crocodile
ḫnti҆|Statue
ḫnti҆|Nickname of Osiris
ḫnti҆|channel
ḫnti҆|be ahead
ḫnti҆|drive upstream
ḫnti҆t|Drive south
ḫnti҆w-š|Lebanon residents
ḫnti҆-i҆pt=f|Nickname of Amon
ḫnti҆-i҆mnti҆w|Nickname of the god of the dead
ḫnti҆-wꜣst|Place where Karnak is
ḫnti҆-mnt=f|Nickname of Horus
ḫnti҆-mni҆t=f|Nickname of Horus
ḫnti҆-mks|Nickname of Osiris
ḫnti҆-n-i҆rti҆|God of Letopolis and Ombos
ḫnti҆-ḥr|sacred serpent in Edfu
ḫnti҆-st|taking first place
ḫnti҆-sḥ-nṯr|Nickname of Anubis
ḫnti҆-sḥ-nṯr|Nickname of Osiris
ḫnti҆-š|Baumgarten
ḫnti҆-š|Name for Lebanon
ḫnti҆t-š|Female title
ḫnti҆w|Beginning of a country
ḫnti҆w|Fabric for clothes
ḫnti҆i҆w|the Nubians
ḫnti҆i҆w|the gods of the hall
ḫntw|before
ḫntš|Fields
ḫntš|Tree garden, forest
ḫntš|play it safe
ḫntš|rejoice
ḫntš|joy
ḫnttt|Ropes
ḫnd|Curve bars
ḫnd|step, step in, go
ḫnd|leg
ḫnd|braid, weave, knot
ḫnd|the one with curved claws = crocodile
ḫndt|Name of a servant of the Neith
ḫndw|Job title
ḫndw|Part of the barque "row benches"
ḫndwi҆i҆|Hole where the mast is inserted
ḫnd-m-ḥr|step forward
ḫnd-ḥr-mw|be devoted to someone
ḫndi҆|Waters
ḫndw|Seat
ḫndwt|stepped
ḫnḏ|Part of the fore leg
ḫr|Street, alley
ḫr|Syria
ḫr|by somebody
ḫr|so, but, because
ḫr|fall, fall
ḫr|necropolis
ḫr|spit out, spit
ḫr|little bird
ḫrt|Matter, need
ḫrt|Thing
ḫrt|Slaughter cattle
ḫrt|flame
ḫr r wꜣbw|to fall to the roots = die
ḫr=f|he said
ḫrt-i҆b|Heart's need
ḫr-i҆m(i҆i҆)|there
ḫr-i҆r-m-ḫt|but after that
ḫr-m-ḫt|after this
ḫr-mdi҆|further
ḫr-n-ꜥḥꜥ|Mass grave
ḫr-nꜣ|or
ḫr-nḥḥ|forever
ḫrt-nḥḥ|forever
ḫr-rꜣ-ꜥ|still
ḫrt-ḥrt|Food for the journey
ḫr-šꜣt ?|Wood species
ḫr-ḏt|forever
ḫrt-ḏt|forever
ḫri҆|Syrians
ḫri҆|located at
ḫri҆|myrrh
ḫri҆|good quality of the official
ḫri҆t|Slaughter cattle
ḫri҆t|dig
ḫri҆w|troops
ḫri҆i҆w|Enemy << euphemistically used >>
ḫrꜥ|Watercourse
ḫrtw|Saying, oracle
ḫrtw|Sistrum
ḫrw|enemy
ḫrw|hostile
ḫrw|Niederacker
ḫrw|voice
ḫrw|Name of Seth
ḫrw|scream
ḫrw-sbḥ|Cry of lament
ḫrw-sbḥi҆t|Cattle roar
ḫrw-ḳri҆|thunder
ḫrwi҆|Noise Makers
ḫrwi҆t|Hostility
ḫrwi҆w|dispute
ḫrwrw|irritate
ḫrwt|enemy
ḫrwti҆|Insulting designation of Apophis
ḫrbḏ|insulting designation of Apophis
ḫrp|scepter
ḫrp|conduct
ḫrp|bring in
ḫrp|be ahead
ḫrp|set out
ḫrp|ladder
ḫrp|Submission
ḫrp|Term for interest cattle
ḫrpt|Subject to disclosure
ḫrpt|Steering rope of the rudder
ḫrpt|Musician in the district of Chois
ḫrpw|Mallets
ḫrpw|Authorities
ḫrp-i҆b|determined
ḫrp-wi҆ꜣ|Helmsman of the sun ship
ḫrp-ḳnw|Cavalry, warhorse
ḫrpi҆i҆t|administration
ḫrpw|Name for lands
ḫrpwt|mandatory deliveries
ḫrps|loaf
ḫrpt|noun
ḫrm|Waters
ḫrr|as a designation of the dead
ḫrr|Body part of man
ḫrr|Bale
ḫrr|Lead white
ḫrr|Deity
ḫrrtb|Copper vessel
ḫrḫr|to destroy
ḫrḫr|blow away
ḫrḫrt|noun
ḫrḫrt|Destruction
ḫrš|Federation
ḫršt|bunch
ḫrḳt|smooth bottom
ḫrṯ|kill
ḫrd|bunch
ḫḫ|Throat, throat
ḫḫ|to destroy
ḫḫ|level
ḫḫ|run fast
ḫḫ|as a disease
ḫḫ(wi҆i҆) šbb|Pearl collar
ḫḫmw|carry away
ḫs|ritual
ḫs|Channel or similar
ḫs|kill
ḫs|Razor << lies {xsf} >>
ḫs-n-mw|Fountain
ḫsꜣ|leather part of the ship
ḫsꜣ|Support yoke, support beam
ḫsꜣi҆|Bribery
ḫsꜣi҆t|officially used plant
ḫsꜣw|officially used part of a tree
ḫsꜣw|plant
ḫsb|to fight someone
ḫsbḏ|Lapis lazuli, blue glass
ḫsbḏ|Name of Hathor
ḫsbḏ|lapis lazuli-like, blue-colored
ḫsbḏ|blue stuff
ḫsbḏ(w)|the lapis lazuli-colored snake
ḫsbḏ-wdḥw|blue glass, lapis lazuli
ḫspr|insect
ḫsf|spindle
ḫsf|fend off
ḫsf|to meet someone
ḫsf|turn in one direction
ḫsf|rejoice at the sight of someone
ḫsf|shave, depilate
ḫsf|Razor
ḫsf|Priesthood of Gaüs von Sebennytos
ḫsf|Kind of pigeon
ḫsf|answer
ḫsft|punishment
ḫsf(t)|noun
ḫsfw|Sew
ḫsfw|Doors of heaven
ḫsfw-n-ḥꜥw|Eye disease
ḫsf-ꜥ|to fight someone
ḫsft-ḫmi҆w|11 hour of the night
ḫsf-smi҆|Make a report
ḫsfi҆|drive upstream
ḫsfi҆i҆wt|Community
ḫsfw|God with a javelin
ḫsfw|drive upstream
ḫsfw|double part of the ship
ḫsfwt|Ship part
ḫsfwt|Sachets for incense
ḫsr|eliminate, drive away
ḫsr|tracks
ḫsḫs|Myrrh variety
ḫss|Myrrh variety
ḫstt|animal
ḫsd|ulcer
ḫsd|Putrefaction
ḫsd|Activity carried out in the water
ḫsd|noun
ḫsdḏ|Apron
ḫsḏ|moldy
ḫsḏd|Apron
ḫšwt|Noun; as a toponym
ḫšb|mutilate
ḫšḫš|rubble
ḫšdrpn|satrap
ḫt|Measure for wine
ḫt|Wood, tree
ḫt|Length of 100 cubits
ḫt|Cadastre
ḫt|through
ḫt|seal
ḫt|Country Chatti
ḫt|Tub, bowl
ḫt|oil
ḫtt|noun
ḫtt|plot
ḫtwt|Wooden things
ḫt-ꜥ|weapon
ḫt-ꜥꜣ|Goose or duck
ḫt-bnr|Fruit tree
ḫtt-pr|Servant in the house
ḫt-n-ꜥnḫ|vegetable food
ḫt-n-ꜥš|cedar
ḫt-n-nwḥ|Measure of 100 cubits
ḫt-n-šmw|firewood
ḫt-n-dšr|officially used
ḫt-nb|gilded wood
ḫt-nḏm|fragrant wood
ḫt-sḫt|Club, scepter
ḫt-sẖr|Wood
ḫt-tꜣ|wander around
ḫtt-tꜣ|cave
ḫt-ṯꜣw|Mast boom
ḫt-ḏbt|Brick shape
ḫtꜣ|creep up
ḫtꜣ|Country Chatti
ḫtꜣ|Hittites
ḫti҆|back away
ḫti҆|scratch
ḫti҆|engraver
ḫti҆|see
ḫti҆|Snake in the realm of the dead
ḫti҆i҆|servant
ḫti҆i҆w|Fighting geniuses
ḫti҆-ḥr|God
ḫti҆w|those behind someone
ḫti҆w|Terrace with stairs
ḫti҆w|Threshing floor
ḫti҆w|Grain
ḫti҆w|Proportions of a building
ḫti҆w-ḥsp|Fields
ḫti҆w-tꜣ|Wandering tribes
ḫtw|Behind
ḫtw|behind someone
ḫtb|to build
ḫtm|seal
ḫtm|ring
ḫtm|seal
ḫtm|lockable box
ḫtm|Clasp
ḫtm|fortress
ḫtm|contract
ḫtm|Real estate
ḫtm|Waters in the Gau of Aphroditopolis
ḫtm|Regulations
ḫtm|provided with captions
ḫtm|Name of the world
ḫtm|priest
ḫtmt|Ring for fingers
ḫtmt|contract
ḫtmi҆|sealer
ḫtmi҆t|Clasp
ḫtri҆|God
ḫtḫt|back away
ḫtḫt|through
ḫtt|Engraving, inscription
ḫṯn|vegetables
ḫṯḫṯ|crush
ḫd|ford
ḫd|Canal at Memphis
ḫd|Pastries
ḫd|Vessel
ḫdt|Land register or similar
ḫd-ḫnti҆|to pull back and forth
ḫdi҆|travel north
ḫdi҆i҆|flow
ḫdr|Boat part
ḫdd|God of catching birds
ḫḏi҆|Riches, rich
ḫḏw|fishes
ḫḏw|Waterfowl
ẖ|Body of an animal
ẖt|Body, stomach
ẖt|corporation
ẖt|Dimensions
ẖt|section
ẖt|text
ẖt|Fabric for buildings
ẖt|Term for pits
ẖt|plant
ẖt|Body << in compound prepositions for "in" >>
ẖti҆|bast
ẖtti҆i҆|how
ẖt-nbt|all people
ẖt-nṯr|sanctuary
ẖꜣt|Oxyrhynchos fish
ẖꜣt|body
ẖꜣt|Name of the stones of the mountain
ẖꜣt|Enemies
